"Pythonic Info","Pythonic 音符 - 好技术更简单"
"Pythonic Info Daily","Pythonic 音符每日"
"Login","登陆"
"Logout","登出"
"Name","名字"
"Email","电子邮件"
"Password","密码"
"Old Password","旧密码"
"New Password","新密码"
"Password Again","再次输入密码"
"submit","提交"
"Submit","提交"
"Setting","设置"
"Signup","注册"
"Forget","忘记密码"
"Reset Password","重置密码"
"Change Password","修改密码"
"Password Updating Success!","更新密码成功!"
"Password Updating Failed!","更新密码失败!"
"Update Your Info","更新信息"
"Update","更新"
"Title","标题"
"Content","内容"
"English URL","英文地址"
"Chinese URL","中文地址"
"(One or both, or just fill in Content)","(两种语言至少填一个, 或者不填地址只写内容)"
"Post","发布"
"Reply","回复"
"discuss","讨论"
"Likes","赞"
"Help","帮助"
"Close","关闭"
"Invite Code","邀请码"
"Invite","邀请"
"support Markdown","支持Markdown语法"
